面向对象程序设计,梁早清,2016级计算机科学与技术4班
201625010401,赵一,5,20,47,20,92
201625010402,钱二,5,22,48,25,100
201625010403,孙三,3,22,48,25,98
201625010404,李四,5,20,46,25,96
201625010405,冯五,2,22,43,25,92
201625010406,陈六,5,20,48,25,98
201625010407,韩七,4,22,48,25,99
201625010408,刘八,2,22,42,15,81
201625010409,陈九,5,18,46,20,89
201625010410,杨十,5,22,48,25,100
201625010411,沈十一,3,22,48,20,93
201625010412,冯十二,5,20,45,25,95
201625010413,蒋十三,2,22,48,25,97
201625010414,赵十四,5,22,47,10,84
201625010415,陈十五,4,20,48,25,97
201625010416,刘十六,2,19,48,15,84
201625010417,陈十七,5,16,43,25,89
201625010418,韩十八,4,22,25,25,76
201625010419,刘十九,2,21,42,15,80
201625010420,陈二十,5,22,46,20,93
201625010421,杨二一,5,16,48,25,94
201625010422,沈二二,3,22,10,25,60
201625010423,冯二三,5,22,45,25,97
201625010424,蒋二四,2,21,10,25,58
201625010425,赵二五,5,22,30,10,67
201625010426,陈二六,4,16,20,30,70
201625010427,刘二七,2,22,48,15,87
201625010428,蒋二八,2,22,25,13,62
201625010429,赵二九,5,17,47,25,94
201625010430,陈三十,4,22,48,25,99
